Asset,Code,Active,SessionStart,SessionEnd
EUR/USD,EURUSD,1,7,20
GBP/USD,GBPUSD,1,7,20
USD/JPY,USDJPY,1,1,16
USD/CAD,USDCAD,1,12,20
XAU/USD,XAUUSD,1,7,20
AUD/USD,AUDUSD,1,1,16
EUR/CHF,EURCHF,1,7,20
