Asset,EntryType,Direction,ATR_Pct,Range_Pct,Volatility,ADX,Trend_Bias,Trend_Quality,RSI,Hurst,Return_20,BB_Width,WinRate,Current_State,PnlPips,Result
EURUSD,CH,-1,0.2081,0.2194,0.001905,28.47,-0.0734,0.7541,67.87,1.0000,0.4356,0.6455,0.0000,100.00,-1.5,0
EURUSD,CH,-1,0.2079,0.1796,0.002202,30.59,-0.0526,0.8231,70.45,0.9643,0.4762,0.7457,0.0000,100.00,5.1,1
USDJPY,CH,-1,0.2388,0.1247,0.150791,34.46,-0.4283,-0.4225,42.97,0.8256,-0.5917,0.5492,0.0000,100.00,-35.7,0
USDJPY,CH,-1,0.2388,0.1274,0.078463,32.89,-0.4373,0.2222,46.72,0.8112,-0.2224,0.2858,0.0000,100.00,-31.5,0
USDJPY,CH,-1,0.2367,0.1127,0.091374,29.14,-0.4067,0.5129,51.38,0.7429,0.1283,0.3328,0.0000,100.00,-24.0,0
GBPUSD,SMA,-1,0.2554,0.0507,0.003565,30.16,-0.0479,-0.8631,34.37,1.0000,-0.3898,1.0300,0.0000,100.00,-63.9,0
GBPUSD,SMA,-1,0.2554,0.1029,0.003406,30.45,-0.0372,-0.7987,34.60,1.0000,-0.4084,0.9837,0.0000,100.00,-63.0,0
USDJPY,SMA,-1,0.2535,0.2786,0.400316,38.64,-0.2442,-0.9392,35.30,0.9313,-0.7106,1.4532,0.0000,100.00,-43.1,0
EURUSD,CH,1,0.1910,0.0888,0.000736,24.40,0.1706,-0.6093,45.45,0.5020,-0.1106,0.2486,0.0000,100.00,47.3,1
GBPUSD,CH,-1,0.2720,0.1815,0.003370,28.43,0.0887,0.8370,72.77,0.3364,0.6730,0.9763,0.0000,100.00,-15.8,0
GBPUSD,CH,-1,0.2718,0.0907,0.003809,30.81,0.1129,0.8789,74.38,0.2727,0.7522,1.1031,0.0000,100.00,-6.8,0
EURUSD,CH,1,0.1856,0.2117,0.000652,25.35,0.1403,-0.1471,44.56,0.1828,-0.1331,0.2195,0.0000,100.00,2.2,1
EURUSD,CH,1,0.1857,0.1207,0.000846,27.98,0.1272,-0.3966,40.64,0.2424,-0.1778,0.2852,0.0000,100.00,9.9,1
EURUSD,CH,1,0.1858,0.1292,0.001082,28.13,0.1134,-0.5850,37.28,0.3088,-0.2233,0.3646,0.0000,100.00,17.1,1
GBPUSD,CH,1,0.2617,0.1931,0.002573,42.04,0.4228,0.7209,57.31,0.1383,0.4721,0.7415,0.0000,100.00,2.9,1
GBPUSD,CH,1,0.2620,0.1789,0.002222,39.74,0.4287,0.5269,49.75,0.1382,0.3083,0.6405,0.0000,100.00,18.9,1
GBPUSD,CH,1,0.2637,0.1320,0.002089,37.13,0.4233,0.3150,49.63,0.1357,0.1402,0.6021,0.0000,100.00,19.1,1
GBPUSD,CH,1,0.2639,0.1631,0.002102,34.93,0.4120,0.0866,45.98,0.1306,-0.0137,0.6057,0.0000,100.00,27.2,1
GBPUSD,CH,1,0.2640,0.1596,0.001999,32.89,0.4072,-0.2683,42.74,0.1441,0.0737,0.5760,0.0000,100.00,34.9,1
EURUSD,SMA,1,0.2122,0.0768,0.002399,32.15,0.0502,0.8941,61.74,0.5527,0.4646,0.8117,0.0000,100.00,3.9,1
EURUSD,SMA,1,0.2123,0.0701,0.002453,32.31,0.0024,0.9128,60.90,0.7449,0.4520,0.8302,0.0000,100.00,7.5,1
EURUSD,SMA,1,0.2123,0.0845,0.002439,32.20,0.0178,0.9072,57.68,0.6778,0.3841,0.8252,0.0000,100.00,12.6,1
EURUSD,SMA,1,0.2123,0.0625,0.002424,32.02,0.0312,0.9005,57.86,0.6083,0.3534,0.8202,0.0000,100.00,12.4,1
EURUSD,CH,1,0.2208,0.0798,0.002799,37.14,-0.1344,-0.9311,25.36,0.1678,-0.6794,0.9458,0.0000,100.00,-13.5,0
GBPUSD,CH,1,0.2434,0.4157,0.002208,29.42,0.0192,-0.6605,26.14,0.6071,-0.5403,0.6364,0.0000,100.00,0.4,1
EURUSD,CH,-1,0.2004,0.0839,0.001809,45.73,-0.3418,-0.6665,39.98,0.1006,-0.4659,0.6135,0.0000,100.00,-48.6,0
EURUSD,CH,-1,0.2002,0.1526,0.001232,43.09,-0.3421,-0.3692,44.52,0.1560,-0.2335,0.4182,0.0000,100.00,-46.5,0
EURUSD,CH,-1,0.2002,0.0712,0.000963,42.02,-0.3404,-0.0466,47.68,0.1822,-0.2115,0.3268,0.0000,100.00,-42.4,0
EURUSD,CH,-1,0.2001,0.0644,0.000851,39.83,-0.3359,0.3899,51.29,0.2270,-0.0796,0.2887,0.0000,100.00,-37.4,0
EURUSD,CH,-1,0.1998,0.2165,0.001099,38.51,-0.3245,0.7310,62.22,0.2952,0.1508,0.3729,0.0000,100.00,-18.1,0
EURUSD,CH,-1,0.2075,0.1057,0.001353,37.47,-0.3073,0.8251,62.03,0.3643,0.2927,0.4590,0.0000,100.00,-17.6,0
GBPUSD,CH,-1,0.2278,0.2102,0.001395,30.70,-0.2282,-0.2950,54.60,0.2472,-0.0700,0.4035,0.0000,100.00,-16.1,0
GBPUSD,CH,-1,0.2278,0.1964,0.001330,28.45,-0.2047,-0.0405,54.16,0.2513,0.2897,0.3846,0.0000,100.00,-16.3,0
GBPUSD,CH,-1,0.2309,0.2236,0.001556,28.35,-0.1901,0.4153,60.60,0.2526,0.1438,0.4500,0.0000,100.00,0.1,1
GBPUSD,CH,-1,0.2305,0.2456,0.002061,30.38,-0.1745,0.8130,66.95,0.2527,0.3135,0.5959,0.0000,100.00,22.6,1
GBPUSD,SMA,-1,0.2567,0.2790,0.002371,31.01,-0.0004,-0.7381,40.65,0.6797,-0.3191,0.6834,0.0000,100.00,2.1,1
GBPUSD,SMA,-1,0.2566,0.1618,0.002465,32.67,-0.0149,-0.8179,43.25,0.7344,-0.2141,0.7107,0.0000,100.00,9.0,1
GBPUSD,SMA,-1,0.2565,0.1047,0.002514,33.30,-0.0293,-0.8469,44.73,0.7578,-0.2708,0.7250,0.0000,100.00,12.2,1
